Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked,Location 1
2009,New Jersey,10,5.8,25.4,58.8,"New Jersey
(40.13056999960594, -74.2736899996936)"
2009,New Mexico,11.2,6.7,25.8,56.2,"New Mexico
(34.52088000011207, -106.24057999976702)"
2009,New York,12.1,5.9,26.3,55.7,"New York
(42.82699999955048, -75.54396999981549)"
2009,North Carolina,14.4,5.9,26.2,53.5,"North Carolina
(35.46624999963797, -79.1593199999179)"
2009,North Dakota,13.4,5.2,24,57.4,"North Dakota
(47.475320000018144, -100.11841999998285)"
2009,Ohio,15.6,4.7,25.8,53.8,"Ohio
(40.06020999969189, -82.40426000019869)"
2009,Oklahoma,18.8,6.7,24.5,50,"Oklahoma
(35.4720099999617, -97.52034999975251)"
2009,Oregon,13.1,4.7,27.6,54.5,"Oregon
(44.567449999917756, -120.15502999983448)"
2009,Pennsylvania,15.1,5.1,26,53.7,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
2009,Puerto Rico,6.9,3.7,18,71.5,"Puerto Rico
"
2009,Rhode Island,10.2,4.9,29.6,55.4,"Rhode Island
(41.70828000002217, -71.5224700001902)"
2009,South Carolina,14.6,5.7,24.5,55.2,"South Carolina
(33.99855000018255, -81.0452500001872)"
2009,South Dakota,12.5,5,27.2,55.3,"South Dakota
(44.353130000049646, -100.37353000040906)"
2009,Tennessee,17.6,4.4,24.7,53.3,"Tennessee
(35.68094000038087, -85.77449000011325)"
2009,Texas,11.7,6.2,21.6,60.5,"Texas
(31.82724000022597, -99.42676999973554)"
2009,Utah,6.9,2.9,15.1,75.1,"Utah
(39.36070000030492, -111.58712999994941)"
2009,Vermont,12.5,4.6,31.6,51.3,"Vermont
(43.625379999687425, -72.51764000028561)"
2009,Virginia,13.8,5.2,24.4,56.5,"Virginia
(37.54268000028196, -78.45789000012326)"
2009,Virgin Islands,3.9,2.6,11.1,82.5,"(18.3333, -64.8333)"
2009,Washington,10.7,4.2,26.7,58.4,"Washington
(47.522280000022135, -120.47001000026114)"
2009,West Virginia,20.7,4.9,24.5,49.9,"West Virginia
(38.66550999958696, -80.71263999973604)"
2009,Wisconsin,12.6,6.1,26.9,54.3,"Wisconsin
(44.39319000021851, -89.81636999977553)"
2009,Wyoming,15.3,4.6,26.1,54,"Wyoming
(43.23553999957147, -108.10982999975454)"
2008,Alabama,17.3,4.9,21.9,56,"Alabama
(32.840569999605975, -86.63186000013877)"
2008,Alaska,15.1,6.4,28.4,50,"Alaska
(64.84507999974238, -147.72205999986895)"
2008,Arizona,10.7,5.2,27.4,56.7,"Arizona
(34.86596999961597, -111.76380999973156)"
2008,Arkansas,17,5.4,26.3,51.4,"Arkansas
(34.748649999697875, -92.27448999971358)"
2008,California,8.9,5.1,23.3,62.7,"California
(37.638300000444815, -120.99958999997835)"
2008,Colorado,12.3,5.4,24.9,57.5,"Colorado
(38.842890000173554, -106.13314000041055)"
2008,Connecticut,11.6,4.3,30.1,54,"Connecticut
(41.56265999995918, -72.6498400002157)"
2008,Delaware,13.4,4.4,28.5,53.7,"Delaware
(39.00883000020451, -75.57774000040052)"
2008,District of Columbia,9.3,7,22.5,61.2,"District of Columbia
(38.89036999987576, -77.03195999965413)"
2008,Florida,12.8,4.7,26.1,56.4,"Florida
(28.932039999846268, -81.9289599999039)"
2008,Georgia,14.5,5,21.4,59.1,"Georgia
(32.83967999993223, -83.62758000031658)"
2008,Guam,21.2,6.2,19.4,53.2,
2008,Hawaii,11.8,3.7,25.4,59.2,"Hawaii
(21.304850000427336, -157.85774999956269)"
2008,Idaho,12.5,4.4,21.9,61.2,"Idaho
(43.682590000228515, -114.36368000023168)"
2008,Illinois,15.1,6.2,23.4,55.3,"Illinois
(40.485010000411364, -88.99770999971656)"
2008,Indiana,19.7,6.3,23,51,"Indiana
(39.76690999989677, -86.14996000035359)"
2008,Iowa,14.1,4.6,24.7,56.6,"Iowa
(42.469390000048634, -93.81649000001335)"
2008,Kansas,13.2,4.7,23.2,59,"Kansas
(38.34774000000118, -98.20077999969709)"
2008,Kentucky,20.5,4.7,25.3,49.5,"Kentucky
(37.645969999815804, -84.77496999996538)"
2008,Louisiana,16,4.5,19.9,59.7,"Louisiana
(31.31265999975932, -92.44567999993188)"
2008,Maine,14,4.1,31.7,50.1,"Maine
(45.25423000041434, -68.9850299999344)"
2008,Maryland,10.6,4.3,24.2,60.9,"Maryland
(39.29057999976732, -76.6092600004485)"
2008,Massachusetts,11.7,4.4,28.1,55.8,"Massachusetts
(42.27687000005062, -72.08269000004333)"
2008,Michigan,15,5.5,25.5,54.1,"Michigan
(44.661320000317914, -84.71438999959867)"
2008,Minnesota,12.1,5.5,27.1,55.4,"Minnesota
(46.3556499998478, -94.79419999982997)"
2008,Mississippi,17.2,5.5,22.2,55.1,"Mississippi
(32.7455100000866, -89.53803000008429)"
2008,Missouri,20.2,4.8,25,50.1,"Missouri
(38.63578999960896, -92.5663000000448)"
2008,Montana,13.8,4.7,26.8,54.7,"Montana
(47.06653000015956, -109.42441999998289)"
2008,Nationwide (States and DC),13.4,4.9,25.2,55.4,
2008,"Nationwide (States, DC, and Territories)",13.4,4.9,25.1,55.5,
2008,Nebraska,13.4,4.9,25,56.6,"Nebraska
(41.6410400000961, -99.36572999973953)"
2008,Nevada,16.4,5.8,25.1,52.7,"Nevada
(39.49323999972637, -117.07183999971608)"
2008,New Hampshire,12.8,4.2,31.1,51.9,"New Hampshire
(43.65595000019255, -71.50036000041354)"
2008,New Jersey,10.7,4.1,24.3,60.9,"New Jersey
(40.13056999960594, -74.2736899996936)"
2008,New Mexico,12.8,6.6,24.9,55.7,"New Mexico
(34.52088000011207, -106.24057999976702)"
2008,New York,11.8,5,25.4,57.8,"New York
(42.82699999955048, -75.54396999981549)"
2008,North Carolina,15.5,5.4,24.8,54.3,"North Carolina
(35.46624999963797, -79.1593199999179)"
2008,North Dakota,13.3,4.8,25.4,56.5,"North Dakota
(47.475320000018144, -100.11841999998285)"
2008,Ohio,15.5,4.6,25.4,54.4,"Ohio
(40.06020999969189, -82.40426000019869)"
2008,Oklahoma,18.5,6.2,24.7,50.6,"Oklahoma
(35.4720099999617, -97.52034999975251)"
2008,Oregon,11.8,4.5,24.7,59,"Oregon
(44.567449999917756, -120.15502999983448)"
2008,Pennsylvania,15.6,5.7,25.3,53.3,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
2008,Puerto Rico,7.5,4.1,18.3,70.1,"Puerto Rico
"
2008,Rhode Island,13.4,4,28.1,54.5,"Rhode Island
(41.70828000002217, -71.5224700001902)"
2008,South Carolina,14.4,5.6,25.2,54.7,"South Carolina
(33.99855000018255, -81.0452500001872)"
2008,South Dakota,12,5.6,26.1,56.4,"South Dakota
(44.353130000049646, -100.37353000040906)"
2008,Tennessee,18,5.1,21.8,55,"Tennessee
(35.68094000038087, -85.77449000011325)"
2008,Texas,11.7,6.8,21.5,60,"Texas
(31.82724000022597, -99.42676999973554)"
2008,Utah,6.8,2.5,16.1,74.5,"Utah
(39.36070000030492, -111.58712999994941)"
2008,Vermont,12.2,4.6,32.2,51.1,"Vermont
(43.625379999687425, -72.51764000028561)"
2008,Virginia,12.4,4.1,24,59.5,"Virginia
(37.54268000028196, -78.45789000012326)"
2008,Virgin Islands,4.1,2.3,11.5,82.1,"Virgin Islands
"
2008,Washington,11.7,4,26.7,57.6,"Washington
(47.522280000022135, -120.47001000026114)"
2008,West Virginia,21.5,5.1,25.4,48.1,"West Virginia
(38.66550999958696, -80.71263999973604)"
2008,Wisconsin,14.1,5.7,26.7,53.5,"Wisconsin
(44.39319000021851, -89.81636999977553)"
2008,Wyoming,14.9,4.5,25.4,55.2,"Wyoming
(43.23553999957147, -108.10982999975454)"
2007,Alabama,16.5,6,23.2,54.3,"Alabama
(32.840569999605975, -86.63186000013877)"
2007,Alaska,15.6,6.7,27.1,50.7,"Alaska
(64.84507999974238, -147.72205999986895)"
2007,Arizona,13.6,6.1,24,56.2,"Arizona
(34.86596999961597, -111.76380999973156)"
2007,Arkansas,17.3,5.1,23.7,53.9,"Arkansas
(34.748649999697875, -92.27448999971358)"
2007,California,8.8,5.5,22.9,62.8,"California
(37.638300000444815, -120.99958999997835)"
2007,Colorado,13.4,5.3,24.6,56.7,"Colorado
(38.842890000173554, -106.13314000041055)"
2007,Connecticut,11.3,4.1,30.5,54.1,"Connecticut
(41.56265999995918, -72.6498400002157)"
2007,Delaware,15.1,3.8,26.1,54.9,"Delaware
(39.00883000020451, -75.57774000040052)"
2007,District of Columbia,11.1,6.1,22.4,60.4,"District of Columbia
(38.89036999987576, -77.03195999965413)"
2007,Florida,14.3,5,26.2,54.5,"Florida
(28.932039999846268, -81.9289599999039)"
2007,Georgia,14.7,4.7,22.7,57.9,"Georgia
(32.83967999993223, -83.62758000031658)"
2007,Guam,23.3,7.6,14.1,54.9,
2007,Hawaii,12.9,4.1,26,57,"Hawaii
(21.304850000427336, -157.85774999956269)"
2007,Idaho,14.5,4.6,22.6,58.3,"Idaho
(43.682590000228515, -114.36368000023168)"
2007,Illinois,13.7,6.4,23.5,56.4,"Illinois
(40.485010000411364, -88.99770999971656)"
2007,Indiana,18.2,5.9,22.8,53,"Indiana
(39.76690999989677, -86.14996000035359)"
2007,Iowa,14.5,5.3,23.5,56.7,"Iowa
(42.469390000048634, -93.81649000001335)"
2007,Kansas,13.7,4.2,23.3,58.8,"Kansas
(38.34774000000118, -98.20077999969709)"
2007,Kentucky,23.5,4.7,23.9,47.9,"Kentucky
(37.645969999815804, -84.77496999996538)"
2007,Louisiana,16.9,5.7,20.2,57.1,"Louisiana
(31.31265999975932, -92.44567999993188)"
2007,Maine,16.2,4,30.8,49.1,"Maine
(45.25423000041434, -68.9850299999344)"
2007,Maryland,11.5,5.6,23.7,59.3,"Maryland
(39.29057999976732, -76.6092600004485)"
2007,Massachusetts,12,4.4,28.5,55.1,"Massachusetts
(42.27687000005062, -72.08269000004333)"
2007,Michigan,15.8,5.4,24.8,54.1,"Michigan
(44.661320000317914, -84.71438999959867)"
2007,Minnesota,12.4,4.1,27.6,55.9,"Minnesota
(46.3556499998478, -94.79419999982997)"
2007,Mississippi,18.5,5.4,21.2,54.8,"Mississippi
(32.7455100000866, -89.53803000008429)"
2007,Missouri,19.8,4.7,23.4,52.1,"Missouri
(38.63578999960896, -92.5663000000448)"
2007,Montana,14.8,4.6,26.6,53.9,"Montana
(47.06653000015956, -109.42441999998289)"
2007,Nationwide (States and DC),14.5,5.2,24.6,54.8,
2007,"Nationwide (States, DC, and Territories)",14.5,5.2,24.4,54.9,
2007,Nebraska,14.5,5.5,23.8,56.2,"Nebraska
(41.6410400000961, -99.36572999973953)"
2007,Nevada,16.1,5.3,25.4,53.1,"Nevada
(39.49323999972637, -117.07183999971608)"
2007,New Hampshire,15.1,4.2,30.3,50.4,"New Hampshire
(43.65595000019255, -71.50036000041354)"
2007,New Jersey,12,5.1,24.7,58.2,"New Jersey
(40.13056999960594, -74.2736899996936)"
2007,New Mexico,13.1,7.6,24.8,54.4,"New Mexico
(34.52088000011207, -106.24057999976702)"
2007,New York,12.8,6.1,25.5,55.6,"New York
(42.82699999955048, -75.54396999981549)"
2007,North Carolina,17.6,5.3,24.8,52.3,"North Carolina
(35.46624999963797, -79.1593199999179)"
2007,North Dakota,15.1,5.9,25.3,53.8,"North Dakota
(47.475320000018144, -100.11841999998285)"
2007,Ohio,17.7,5.4,24.8,52.1,"Ohio
(40.06020999969189, -82.40426000019869)"
2007,Oklahoma,20,5.8,23.2,51,"Oklahoma
(35.4720099999617, -97.52034999975251)"
2007,Oregon,13.1,3.8,28.2,54.9,"Oregon
(44.567449999917756, -120.15502999983448)"
2007,Pennsylvania,15.1,5.8,23.9,55.1,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
2007,Puerto Rico,7.5,4.7,19.2,68.6,"Puerto Rico
"
2007,Rhode Island,11.8,5.2,28.4,54.6,"Rhode Island
(41.70828000002217, -71.5224700001902)"
2007,South Carolina,16.2,5.7,25,53.1,"South Carolina
(33.99855000018255, -81.0452500001872)"
2007,South Dakota,14.2,5.6,24.3,55.9,"South Dakota
(44.353130000049646, -100.37353000040906)"
2007,Tennessee,20,4.3,24,51.8,"Tennessee
(35.68094000038087, -85.77449000011325)"
2007,Texas,13,6.4,20.7,60,"Texas
(31.82724000022597, -99.42676999973554)"
2007,Utah,8.3,3.4,15.8,72.5,"Utah
(39.36070000030492, -111.58712999994941)"
2007,Vermont,13.8,3.8,30.7,51.7,"Vermont
(43.625379999687425, -72.51764000028561)"
2007,Virginia,14.1,4.4,23.5,58,"Virginia
(37.54268000028196, -78.45789000012326)"
2007,Virgin Islands,5.6,3,11.9,79.5,"Virgin Islands
"
2007,Washington,12.2,4.6,26.2,57,"Washington
(47.522280000022135, -120.47001000026114)"
2007,West Virginia,21.7,5.2,24.5,48.6,"West Virginia
(38.66550999958696, -80.71263999973604)"
2007,Wisconsin,14.6,5,25.9,54.5,"Wisconsin
(44.39319000021851, -89.81636999977553)"
2007,Wyoming,17.5,4.6,24.8,53.1,"Wyoming
(43.23553999957147, -108.10982999975454)"
2006,Alabama,17.6,5.5,23.4,53.5,"Alabama
(32.840569999605975, -86.63186000013877)"
2006,Alaska,16.2,7.7,27.6,48.5,"Alaska
(64.84507999974238, -147.72205999986895)"
2006,Arizona,12.1,6.1,24.9,56.9,"Arizona
(34.86596999961597, -111.76380999973156)"
2006,Arkansas,18.8,4.8,25.1,51.2,"Arkansas
(34.748649999697875, -92.27448999971358)"
2006,California,9.4,5.5,24.2,60.8,"California
(37.638300000444815, -120.99958999997835)"
2006,Colorado,12.3,5.6,24.5,57.6,"Colorado
(38.842890000173554, -106.13314000041055)"
2006,Connecticut,11.9,5.1,28.2,54.8,"Connecticut
(41.56265999995918, -72.6498400002157)"
2006,Delaware,16.7,5.1,27.3,50.9,"Delaware
(39.00883000020451, -75.57774000040052)"
2006,District of Columbia,10.6,7.3,22.1,60,"District of Columbia
(38.89036999987576, -77.03195999965413)"
2006,Florida,16,5.1,26.1,52.9,"Florida
(28.932039999846268, -81.9289599999039)"
2006,Georgia,14.1,5.8,21.2,58.8,"Georgia
(32.83967999993223, -83.62758000031658)"
2006,Hawaii,13,4.6,25.1,57.3,"Hawaii
(21.304850000427336, -157.85774999956269)"
2006,Idaho,12.9,3.9,23,60.2,"Idaho
(43.682590000228515, -114.36368000023168)"
2006,Illinois,14.1,6.4,23.7,55.8,"Illinois
(40.485010000411364, -88.99770999971656)"
2006,Indiana,18.6,5.5,23.3,52.7,"Indiana
(39.76690999989677, -86.14996000035359)"
2006,Iowa,17.1,4.3,23.7,54.8,"Iowa
(42.469390000048634, -93.81649000001335)"
2006,Kansas,15.2,4.8,24.1,55.9,"Kansas
(38.34774000000118, -98.20077999969709)"
2006,Kentucky,24.3,4.3,24.3,47.2,"Kentucky
(37.645969999815804, -84.77496999996538)"
2006,Louisiana,17.7,5.7,20.1,56.4,"Louisiana
(31.31265999975932, -92.44567999993188)"
2006,Maine,15.9,5,30.4,48.7,"Maine
(45.25423000041434, -68.9850299999344)"
2006,Maryland,13,4.7,22.6,59.7,"Maryland
(39.29057999976732, -76.6092600004485)"
2006,Massachusetts,13,4.7,27.7,54.5,"Massachusetts
(42.27687000005062, -72.08269000004333)"
2006,Michigan,16.5,5.8,25.4,52.2,"Michigan
(44.661320000317914, -84.71438999959867)"
2006,Minnesota,13.8,4.5,27.6,54.1,"Minnesota
(46.3556499998478, -94.79419999982997)"
2006,Mississippi,17.9,7.2,21.1,53.8,"Mississippi
(32.7455100000866, -89.53803000008429)"
2006,Missouri,18.6,4.6,26.8,50,"Missouri
(38.63578999960896, -92.5663000000448)"
2006,Montana,13.3,5.6,26.8,54.3,"Montana
(47.06653000015956, -109.42441999998289)"
2006,Nationwide (States and DC),14.9,5.1,24.7,54.3,
2006,"Nationwide (States, DC, and Territories)",14.7,5.1,24.5,54.5,
2006,Nebraska,13.8,4.8,23.8,57.5,"Nebraska
(41.6410400000961, -99.36572999973953)"
2006,Nevada,15.6,6.5,25.6,52.3,"Nevada
(39.49323999972637, -117.07183999971608)"
2006,New Hampshire,14.3,4.4,29.7,51.6,"New Hampshire
(43.65595000019255, -71.50036000041354)"
2006,New Jersey,12.3,5.7,24.1,57.9,"New Jersey
(40.13056999960594, -74.2736899996936)"
2006,New Mexico,13.8,6.4,24.7,55.1,"New Mexico
(34.52088000011207, -106.24057999976702)"
2006,New York,13.4,4.9,24.5,57.3,"New York
(42.82699999955048, -75.54396999981549)"
2006,North Carolina,17,5.1,24.1,53.9,"North Carolina
(35.46624999963797, -79.1593199999179)"
2006,North Dakota,15.6,3.9,24.1,56.4,"North Dakota
(47.475320000018144, -100.11841999998285)"
2006,Ohio,16.8,5.6,24.3,53.3,"Ohio
(40.06020999969189, -82.40426000019869)"
2006,Oklahoma,18.9,6.2,23.7,51.2,"Oklahoma
(35.4720099999617, -97.52034999975251)"
2006,Oregon,13.6,4.8,25.7,55.8,"Oregon
(44.567449999917756, -120.15502999983448)"
2006,Pennsylvania,16.6,4.9,25.5,53,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
2006,Puerto Rico,7.7,4.8,16.8,70.7,"Puerto Rico
"
2006,Rhode Island,14.9,4.3,28.8,52,"Rhode Island
(41.70828000002217, -71.5224700001902)"
2006,South Carolina,16.5,5.8,24.5,53.3,"South Carolina
(33.99855000018255, -81.0452500001872)"
2006,South Dakota,14.7,5.6,24.8,54.8,"South Dakota
(44.353130000049646, -100.37353000040906)"
2006,Tennessee,18.4,4.1,23.5,53.9,"Tennessee
(35.68094000038087, -85.77449000011325)"
2006,Texas,12.6,5.3,21.7,60.4,"Texas
(31.82724000022597, -99.42676999973554)"
2006,Utah,7.1,2.7,16.6,73.6,"Utah
(39.36070000030492, -111.58712999994941)"
2006,Vermont,14,4,30.9,51.1,"Vermont
(43.625379999687425, -72.51764000028561)"
2006,Virginia,14.7,4.6,25.2,55.5,"Virginia
(37.54268000028196, -78.45789000012326)"
2006,Virgin Islands,5.8,3.1,13.1,78,"Virgin Islands
"
2006,Washington,12.3,4.7,26.4,56.6,"Washington
(47.522280000022135, -120.47001000026114)"
2006,West Virginia,21.3,4.5,24.7,49.6,"West Virginia
(38.66550999958696, -80.71263999973604)"
2006,Wisconsin,15.2,5.6,26,53.2,"Wisconsin
(44.39319000021851, -89.81636999977553)"
2006,Wyoming,16.4,5.2,24.9,53.5,"Wyoming
(43.23553999957147, -108.10982999975454)"
2005,Alabama,18.8,6,20.9,54.3,"Alabama
(32.840569999605975, -86.63186000013877)"
2005,Alaska,18.8,6.2,23.8,51.2,"Alaska
(64.84507999974238, -147.72205999986895)"
2005,Arizona,13.7,6.6,25.5,54.3,"Arizona
(34.86596999961597, -111.76380999973156)"
2005,Arkansas,18.1,5.4,24.9,51.6,"Arkansas
(34.748649999697875, -92.27448999971358)"
2005,California,9.8,5.3,23.3,61.5,"California
(37.638300000444815, -120.99958999997835)"
2005,Colorado,13.5,6.3,24.8,55.4,"Colorado
(38.842890000173554, -106.13314000041055)"
